SNR_Bob = 0 dB, SNR_Eve = 0 dB, phi = 0.2 | C_B1 = 21.42 Mbps | C_B2 = 7.63 Mbps | C_E = 15.35 Mbps | BER_B1 = 4.9890e-01 | BER_B2 = 4.9920e-01 | BER_E = 5.0440e-01 | R_s1 = 1.28 | R_s2 = 0.00 | SOP1 = 0.18 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.28e-07 | eta_s2 = 1.80e-11
SNR_Bob = 0 dB, SNR_Eve = 2 dB, phi = 0.2 | C_B1 = 21.37 Mbps | C_B2 = 7.62 Mbps | C_E = 15.31 Mbps | BER_B1 = 5.0180e-01 | BER_B2 = 5.1060e-01 | BER_E = 5.0480e-01 | R_s1 = 1.28 | R_s2 = 0.00 | SOP1 = 0.18 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.28e-07 | eta_s2 = 2.11e-11
SNR_Bob = 0 dB, SNR_Eve = 4 dB, phi = 0.2 | C_B1 = 21.25 Mbps | C_B2 = 7.63 Mbps | C_E = 15.34 Mbps | BER_B1 = 5.0250e-01 | BER_B2 = 5.0940e-01 | BER_E = 5.0130e-01 | R_s1 = 1.26 | R_s2 = 0.00 | SOP1 = 0.19 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.26e-07 | eta_s2 = 2.08e-11
SNR_Bob = 0 dB, SNR_Eve = 6 dB, phi = 0.2 | C_B1 = 21.15 Mbps | C_B2 = 7.60 Mbps | C_E = 15.35 Mbps | BER_B1 = 5.0700e-01 | BER_B2 = 4.8670e-01 | BER_E = 4.9210e-01 | R_s1 = 1.25 | R_s2 = 0.00 | SOP1 = 0.21 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.25e-07 | eta_s2 = 2.85e-11
SNR_Bob = 0 dB, SNR_Eve = 8 dB, phi = 0.2 | C_B1 = 20.91 Mbps | C_B2 = 7.62 Mbps | C_E = 15.34 Mbps | BER_B1 = 4.9950e-01 | BER_B2 = 5.0300e-01 | BER_E = 5.0000e-01 | R_s1 = 1.23 | R_s2 = 0.00 | SOP1 = 0.23 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.23e-07 | eta_s2 = 2.18e-11
SNR_Bob = 0 dB, SNR_Eve = 10 dB, phi = 0.2 | C_B1 = 20.59 Mbps | C_B2 = 7.58 Mbps | C_E = 15.32 Mbps | BER_B1 = 5.0300e-01 | BER_B2 = 4.9980e-01 | BER_E = 4.9460e-01 | R_s1 = 1.20 | R_s2 = 0.00 | SOP1 = 0.25 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.20e-07 | eta_s2 = 1.56e-11
SNR_Bob = 0 dB, SNR_Eve = 12 dB, phi = 0.2 | C_B1 = 20.12 Mbps | C_B2 = 7.55 Mbps | C_E = 15.32 Mbps | BER_B1 = 5.0580e-01 | BER_B2 = 5.0000e-01 | BER_E = 4.9910e-01 | R_s1 = 1.15 | R_s2 = 0.00 | SOP1 = 0.31 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.15e-07 | eta_s2 = 1.34e-11
SNR_Bob = 0 dB, SNR_Eve = 14 dB, phi = 0.2 | C_B1 = 19.39 Mbps | C_B2 = 7.53 Mbps | C_E = 15.36 Mbps | BER_B1 = 5.0240e-01 | BER_B2 = 5.0320e-01 | BER_E = 4.8550e-01 | R_s1 = 1.07 | R_s2 = 0.00 | SOP1 = 0.39 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.07e-07 | eta_s2 = 1.97e-11
SNR_Bob = 0 dB, SNR_Eve = 16 dB, phi = 0.2 | C_B1 = 18.40 Mbps | C_B2 = 7.48 Mbps | C_E = 15.32 Mbps | BER_B1 = 4.9670e-01 | BER_B2 = 5.0130e-01 | BER_E = 5.0530e-01 | R_s1 = 0.98 | R_s2 = 0.00 | SOP1 = 0.53 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 9.79e-08 | eta_s2 = 1.85e-11
SNR_Bob = 0 dB, SNR_Eve = 18 dB, phi = 0.2 | C_B1 = 17.03 Mbps | C_B2 = 7.37 Mbps | C_E = 15.35 Mbps | BER_B1 = 5.0200e-01 | BER_B2 = 5.0380e-01 | BER_E = 5.0780e-01 | R_s1 = 0.84 | R_s2 = 0.00 | SOP1 = 0.70 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 8.40e-08 | eta_s2 = 1.64e-11
SNR_Bob = 0 dB, SNR_Eve = 20 dB, phi = 0.2 | C_B1 = 15.26 Mbps | C_B2 = 7.24 Mbps | C_E = 15.37 Mbps | BER_B1 = 5.0350e-01 | BER_B2 = 4.9850e-01 | BER_E = 4.9660e-01 | R_s1 = 0.66 | R_s2 = 0.00 | SOP1 = 0.87 | SOP2 = 1.00 | IP1 = 0.01 | IP2 = 1.00 | eta_s1 = 6.63e-08 | eta_s2 = 1.48e-11
