===== KỊCH BẢN 2: Multi-user NOMA, quét SNR_Eve =====
SNR_Bob = 0 dB, SNR_Eve = 0 dB | alpha1 = 0.3500, alpha2 = 0.3500, phi = 0.3000 | C_B1 = 22.37 Mbps | C_B2 = 3.85 Mbps | C_E = 8.75 Mbps | R_s1 = 1.36 | R_s2 = 0.00 | SOP1 = 0.13 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.36e-07 | eta_s2 = 1.47e-11
SNR_Bob = 0 dB, SNR_Eve = 2 dB | alpha1 = 0.3499, alpha2 = 0.3501, phi = 0.3000 | C_B1 = 22.32 Mbps | C_B2 = 3.85 Mbps | C_E = 8.76 Mbps | R_s1 = 1.36 | R_s2 = 0.00 | SOP1 = 0.14 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.36e-07 | eta_s2 = 1.30e-11
SNR_Bob = 0 dB, SNR_Eve = 4 dB | alpha1 = 0.3499, alpha2 = 0.3501, phi = 0.3000 | C_B1 = 22.24 Mbps | C_B2 = 3.85 Mbps | C_E = 8.75 Mbps | R_s1 = 1.35 | R_s2 = 0.00 | SOP1 = 0.14 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.35e-07 | eta_s2 = 1.28e-11
SNR_Bob = 0 dB, SNR_Eve = 6 dB | alpha1 = 0.3500, alpha2 = 0.3500, phi = 0.3000 | C_B1 = 22.08 Mbps | C_B2 = 3.85 Mbps | C_E = 8.76 Mbps | R_s1 = 1.33 | R_s2 = 0.00 | SOP1 = 0.15 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.33e-07 | eta_s2 = 1.19e-11
SNR_Bob = 0 dB, SNR_Eve = 8 dB | alpha1 = 0.3501, alpha2 = 0.3499, phi = 0.3000 | C_B1 = 21.84 Mbps | C_B2 = 3.84 Mbps | C_E = 8.76 Mbps | R_s1 = 1.31 | R_s2 = 0.00 | SOP1 = 0.17 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.31e-07 | eta_s2 = 1.13e-11
SNR_Bob = 0 dB, SNR_Eve = 10 dB | alpha1 = 0.3498, alpha2 = 0.3502, phi = 0.3000 | C_B1 = 21.51 Mbps | C_B2 = 3.83 Mbps | C_E = 8.77 Mbps | R_s1 = 1.27 | R_s2 = 0.00 | SOP1 = 0.20 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.27e-07 | eta_s2 = 1.26e-11
SNR_Bob = 0 dB, SNR_Eve = 12 dB | alpha1 = 0.3498, alpha2 = 0.3502, phi = 0.3000 | C_B1 = 20.99 Mbps | C_B2 = 3.82 Mbps | C_E = 8.76 Mbps | R_s1 = 1.22 | R_s2 = 0.00 | SOP1 = 0.24 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.22e-07 | eta_s2 = 1.03e-11
SNR_Bob = 0 dB, SNR_Eve = 14 dB | alpha1 = 0.3499, alpha2 = 0.3501, phi = 0.3000 | C_B1 = 20.22 Mbps | C_B2 = 3.79 Mbps | C_E = 8.76 Mbps | R_s1 = 1.15 | R_s2 = 0.00 | SOP1 = 0.32 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.15e-07 | eta_s2 = 1.17e-11
SNR_Bob = 0 dB, SNR_Eve = 16 dB | alpha1 = 0.3502, alpha2 = 0.3498, phi = 0.3000 | C_B1 = 19.13 Mbps | C_B2 = 3.76 Mbps | C_E = 8.76 Mbps | R_s1 = 1.04 | R_s2 = 0.00 | SOP1 = 0.45 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.04e-07 | eta_s2 = 1.07e-11
SNR_Bob = 0 dB, SNR_Eve = 18 dB | alpha1 = 0.3500, alpha2 = 0.3500, phi = 0.3000 | C_B1 = 17.67 Mbps | C_B2 = 3.71 Mbps | C_E = 8.75 Mbps | R_s1 = 0.89 | R_s2 = 0.00 | SOP1 = 0.64 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 8.92e-08 | eta_s2 = 8.67e-12
SNR_Bob = 0 dB, SNR_Eve = 20 dB | alpha1 = 0.3500, alpha2 = 0.3500, phi = 0.3000 | C_B1 = 15.82 Mbps | C_B2 = 3.63 Mbps | C_E = 8.76 Mbps | R_s1 = 0.71 | R_s2 = 0.00 | SOP1 = 0.83 | SOP2 = 1.00 | IP1 = 0.01 | IP2 = 1.00 | eta_s1 = 7.07e-08 | eta_s2 = 9.27e-12
