
===== KỊCH BẢN 2: Multi-user NOMA, quét SNR_Eve (Eve chủ động gây nhiễu) =====
==== THÔNG SỐ HỆ THỐNG KỊCH BẢN 2 ====
Công suất truyền P_A: 1 W
Nhiễu nền N_0: 1.00e-15 W
Hệ số suy hao alpha: 3
Băng thông: 10.0 MHz
Số anten: 16
Khoảng cách: Bob1 = 50m, Bob2 = 100m, Eve = 70m
Phân bổ công suất: alpha1 = 0.300, alpha2 = 0.700 (tổng = 1.000)
Tỷ lệ lỗi SIC: epsilon = 0.01
============================

SNR_Bob = 0 dB, SNR_Eve = 0 dB | C_B1 = 23.75 Mbps | C_B2 = 12.48 Mbps | C_E = 23.15 Mbps | BER_B1 = 4.9100e-01 | BER_B2 = 5.0090e-01 | BER_E = 5.0620e-01 | R_s1 = 0.93 | R_s2 = 0.00 | SOP1 = 0.56 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 9.35e-08 | eta_s2 = 2.36e-11
SNR_Bob = 0 dB, SNR_Eve = 2 dB | C_B1 = 23.75 Mbps | C_B2 = 12.46 Mbps | C_E = 23.13 Mbps | BER_B1 = 4.8750e-01 | BER_B2 = 4.9600e-01 | BER_E = 4.9790e-01 | R_s1 = 0.94 | R_s2 = 0.00 | SOP1 = 0.57 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 9.37e-08 | eta_s2 = 3.10e-11
SNR_Bob = 0 dB, SNR_Eve = 4 dB | C_B1 = 23.68 Mbps | C_B2 = 12.49 Mbps | C_E = 23.20 Mbps | BER_B1 = 4.9890e-01 | BER_B2 = 4.8990e-01 | BER_E = 4.9890e-01 | R_s1 = 0.92 | R_s2 = 0.00 | SOP1 = 0.58 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 9.24e-08 | eta_s2 = 1.92e-11
SNR_Bob = 0 dB, SNR_Eve = 6 dB | C_B1 = 23.56 Mbps | C_B2 = 12.48 Mbps | C_E = 23.18 Mbps | BER_B1 = 5.0240e-01 | BER_B2 = 4.9910e-01 | BER_E = 5.0840e-01 | R_s1 = 0.91 | R_s2 = 0.00 | SOP1 = 0.60 | SOP2 = 1.00 | IP1 = 0.01 | IP2 = 1.00 | eta_s1 = 9.14e-08 | eta_s2 = 9.65e-12
SNR_Bob = 0 dB, SNR_Eve = 8 dB | C_B1 = 23.44 Mbps | C_B2 = 12.45 Mbps | C_E = 23.20 Mbps | BER_B1 = 4.9500e-01 | BER_B2 = 4.9140e-01 | BER_E = 5.0240e-01 | R_s1 = 0.90 | R_s2 = 0.00 | SOP1 = 0.61 | SOP2 = 1.00 | IP1 = 0.01 | IP2 = 1.00 | eta_s1 = 9.01e-08 | eta_s2 = 1.80e-11
SNR_Bob = 0 dB, SNR_Eve = 10 dB | C_B1 = 23.27 Mbps | C_B2 = 12.44 Mbps | C_E = 23.18 Mbps | BER_B1 = 5.0410e-01 | BER_B2 = 4.9680e-01 | BER_E = 5.0000e-01 | R_s1 = 0.88 | R_s2 = 0.00 | SOP1 = 0.63 | SOP2 = 1.00 | IP1 = 0.01 | IP2 = 1.00 | eta_s1 = 8.85e-08 | eta_s2 = 1.45e-11
SNR_Bob = 0 dB, SNR_Eve = 12 dB | C_B1 = 22.90 Mbps | C_B2 = 12.43 Mbps | C_E = 23.15 Mbps | BER_B1 = 4.9700e-01 | BER_B2 = 5.0860e-01 | BER_E = 5.0280e-01 | R_s1 = 0.85 | R_s2 = 0.00 | SOP1 = 0.66 | SOP2 = 1.00 | IP1 = 0.01 | IP2 = 1.00 | eta_s1 = 8.51e-08 | eta_s2 = 1.38e-11
SNR_Bob = 0 dB, SNR_Eve = 14 dB | C_B1 = 22.48 Mbps | C_B2 = 12.44 Mbps | C_E = 23.20 Mbps | BER_B1 = 4.9920e-01 | BER_B2 = 5.0350e-01 | BER_E = 4.9670e-01 | R_s1 = 0.80 | R_s2 = 0.00 | SOP1 = 0.71 | SOP2 = 1.00 | IP1 = 0.01 | IP2 = 1.00 | eta_s1 = 8.05e-08 | eta_s2 = 8.12e-12
SNR_Bob = 0 dB, SNR_Eve = 16 dB | C_B1 = 21.76 Mbps | C_B2 = 12.43 Mbps | C_E = 23.20 Mbps | BER_B1 = 5.0210e-01 | BER_B2 = 4.9680e-01 | BER_E = 5.0270e-01 | R_s1 = 0.73 | R_s2 = 0.00 | SOP1 = 0.78 | SOP2 = 1.00 | IP1 = 0.02 | IP2 = 1.00 | eta_s1 = 7.34e-08 | eta_s2 = 8.50e-12
SNR_Bob = 0 dB, SNR_Eve = 18 dB | C_B1 = 20.75 Mbps | C_B2 = 12.35 Mbps | C_E = 23.20 Mbps | BER_B1 = 5.0120e-01 | BER_B2 = 4.9430e-01 | BER_E = 4.9490e-01 | R_s1 = 0.64 | R_s2 = 0.00 | SOP1 = 0.86 | SOP2 = 1.00 | IP1 = 0.03 | IP2 = 1.00 | eta_s1 = 6.35e-08 | eta_s2 = 1.18e-11
SNR_Bob = 0 dB, SNR_Eve = 20 dB | C_B1 = 19.45 Mbps | C_B2 = 12.35 Mbps | C_E = 23.17 Mbps | BER_B1 = 4.9630e-01 | BER_B2 = 4.9510e-01 | BER_E = 4.9940e-01 | R_s1 = 0.52 | R_s2 = 0.00 | SOP1 = 0.92 | SOP2 = 1.00 | IP1 = 0.08 | IP2 = 1.00 | eta_s1 = 5.15e-08 | eta_s2 = 1.41e-11
SNR_Bob = 2 dB, SNR_Eve = 0 dB | C_B1 = 28.58 Mbps | C_B2 = 16.62 Mbps | C_E = 28.67 Mbps | BER_B1 = 4.9400e-01 | BER_B2 = 4.9850e-01 | BER_E = 4.9370e-01 | R_s1 = 0.97 | R_s2 = 0.00 | SOP1 = 0.53 | SOP2 = 1.00 | IP1 = 0.01 | IP2 = 1.00 | eta_s1 = 9.67e-08 | eta_s2 = 1.33e-11
SNR_Bob = 2 dB, SNR_Eve = 2 dB | C_B1 = 28.51 Mbps | C_B2 = 16.66 Mbps | C_E = 28.67 Mbps | BER_B1 = 4.9580e-01 | BER_B2 = 4.9600e-01 | BER_E = 4.9430e-01 | R_s1 = 0.96 | R_s2 = 0.00 | SOP1 = 0.54 | SOP2 = 1.00 | IP1 = 0.01 | IP2 = 1.00 | eta_s1 = 9.60e-08 | eta_s2 = 8.80e-12
SNR_Bob = 2 dB, SNR_Eve = 4 dB | C_B1 = 28.49 Mbps | C_B2 = 16.64 Mbps | C_E = 28.72 Mbps | BER_B1 = 5.0310e-01 | BER_B2 = 4.9420e-01 | BER_E = 4.9720e-01 | R_s1 = 0.95 | R_s2 = 0.00 | SOP1 = 0.54 | SOP2 = 1.00 | IP1 = 0.01 | IP2 = 1.00 | eta_s1 = 9.54e-08 | eta_s2 = 1.60e-11
SNR_Bob = 2 dB, SNR_Eve = 6 dB | C_B1 = 28.46 Mbps | C_B2 = 16.66 Mbps | C_E = 28.68 Mbps | BER_B1 = 4.9510e-01 | BER_B2 = 5.0270e-01 | BER_E = 5.0070e-01 | R_s1 = 0.95 | R_s2 = 0.00 | SOP1 = 0.54 | SOP2 = 1.00 | IP1 = 0.01 | IP2 = 1.00 | eta_s1 = 9.54e-08 | eta_s2 = 1.79e-11
SNR_Bob = 2 dB, SNR_Eve = 8 dB | C_B1 = 28.28 Mbps | C_B2 = 16.64 Mbps | C_E = 28.64 Mbps | BER_B1 = 4.9870e-01 | BER_B2 = 4.9410e-01 | BER_E = 5.0060e-01 | R_s1 = 0.94 | R_s2 = 0.00 | SOP1 = 0.55 | SOP2 = 1.00 | IP1 = 0.01 | IP2 = 1.00 | eta_s1 = 9.40e-08 | eta_s2 = 1.48e-11
SNR_Bob = 2 dB, SNR_Eve = 10 dB | C_B1 = 28.05 Mbps | C_B2 = 16.66 Mbps | C_E = 28.66 Mbps | BER_B1 = 5.0710e-01 | BER_B2 = 4.9490e-01 | BER_E = 4.9450e-01 | R_s1 = 0.92 | R_s2 = 0.00 | SOP1 = 0.59 | SOP2 = 1.00 | IP1 = 0.01 | IP2 = 1.00 | eta_s1 = 9.16e-08 | eta_s2 = 2.02e-11
SNR_Bob = 2 dB, SNR_Eve = 12 dB | C_B1 = 27.76 Mbps | C_B2 = 16.62 Mbps | C_E = 28.68 Mbps | BER_B1 = 5.0000e-01 | BER_B2 = 5.0890e-01 | BER_E = 4.9580e-01 | R_s1 = 0.89 | R_s2 = 0.00 | SOP1 = 0.62 | SOP2 = 1.00 | IP1 = 0.01 | IP2 = 1.00 | eta_s1 = 8.86e-08 | eta_s2 = 1.80e-11
SNR_Bob = 2 dB, SNR_Eve = 14 dB | C_B1 = 27.26 Mbps | C_B2 = 16.58 Mbps | C_E = 28.68 Mbps | BER_B1 = 4.9550e-01 | BER_B2 = 4.9370e-01 | BER_E = 4.9740e-01 | R_s1 = 0.84 | R_s2 = 0.00 | SOP1 = 0.66 | SOP2 = 1.00 | IP1 = 0.01 | IP2 = 1.00 | eta_s1 = 8.35e-08 | eta_s2 = 1.47e-11
SNR_Bob = 2 dB, SNR_Eve = 16 dB | C_B1 = 26.56 Mbps | C_B2 = 16.56 Mbps | C_E = 28.65 Mbps | BER_B1 = 4.9410e-01 | BER_B2 = 5.0350e-01 | BER_E = 4.9910e-01 | R_s1 = 0.77 | R_s2 = 0.00 | SOP1 = 0.73 | SOP2 = 1.00 | IP1 = 0.03 | IP2 = 1.00 | eta_s1 = 7.70e-08 | eta_s2 = 2.52e-11
SNR_Bob = 2 dB, SNR_Eve = 18 dB | C_B1 = 25.48 Mbps | C_B2 = 16.54 Mbps | C_E = 28.68 Mbps | BER_B1 = 5.0540e-01 | BER_B2 = 5.0530e-01 | BER_E = 5.0170e-01 | R_s1 = 0.66 | R_s2 = 0.00 | SOP1 = 0.81 | SOP2 = 1.00 | IP1 = 0.04 | IP2 = 1.00 | eta_s1 = 6.63e-08 | eta_s2 = 1.44e-11
SNR_Bob = 2 dB, SNR_Eve = 20 dB | C_B1 = 24.05 Mbps | C_B2 = 16.45 Mbps | C_E = 28.68 Mbps | BER_B1 = 5.0490e-01 | BER_B2 = 5.0480e-01 | BER_E = 5.0030e-01 | R_s1 = 0.53 | R_s2 = 0.00 | SOP1 = 0.90 | SOP2 = 1.00 | IP1 = 0.09 | IP2 = 1.00 | eta_s1 = 5.30e-08 | eta_s2 = 7.99e-12
SNR_Bob = 4 dB, SNR_Eve = 0 dB | C_B1 = 33.40 Mbps | C_B2 = 21.49 Mbps | C_E = 34.55 Mbps | BER_B1 = 5.0120e-01 | BER_B2 = 4.9870e-01 | BER_E = 4.9480e-01 | R_s1 = 0.94 | R_s2 = 0.00 | SOP1 = 0.56 | SOP2 = 1.00 | IP1 = 0.01 | IP2 = 1.00 | eta_s1 = 9.38e-08 | eta_s2 = 4.45e-11
SNR_Bob = 4 dB, SNR_Eve = 2 dB | C_B1 = 33.35 Mbps | C_B2 = 21.46 Mbps | C_E = 34.48 Mbps | BER_B1 = 5.0440e-01 | BER_B2 = 4.9980e-01 | BER_E = 4.9510e-01 | R_s1 = 0.94 | R_s2 = 0.00 | SOP1 = 0.56 | SOP2 = 1.00 | IP1 = 0.01 | IP2 = 1.00 | eta_s1 = 9.39e-08 | eta_s2 = 3.13e-11
SNR_Bob = 4 dB, SNR_Eve = 4 dB | C_B1 = 33.27 Mbps | C_B2 = 21.47 Mbps | C_E = 34.52 Mbps | BER_B1 = 5.0120e-01 | BER_B2 = 4.9940e-01 | BER_E = 5.0500e-01 | R_s1 = 0.93 | R_s2 = 0.00 | SOP1 = 0.57 | SOP2 = 1.00 | IP1 = 0.01 | IP2 = 1.00 | eta_s1 = 9.28e-08 | eta_s2 = 2.25e-11
SNR_Bob = 4 dB, SNR_Eve = 6 dB | C_B1 = 33.16 Mbps | C_B2 = 21.49 Mbps | C_E = 34.51 Mbps | BER_B1 = 5.0440e-01 | BER_B2 = 4.8680e-01 | BER_E = 4.9240e-01 | R_s1 = 0.92 | R_s2 = 0.00 | SOP1 = 0.58 | SOP2 = 1.00 | IP1 = 0.01 | IP2 = 1.00 | eta_s1 = 9.18e-08 | eta_s2 = 1.40e-11
SNR_Bob = 4 dB, SNR_Eve = 8 dB | C_B1 = 33.10 Mbps | C_B2 = 21.43 Mbps | C_E = 34.56 Mbps | BER_B1 = 4.9940e-01 | BER_B2 = 4.9340e-01 | BER_E = 5.0500e-01 | R_s1 = 0.91 | R_s2 = 0.00 | SOP1 = 0.60 | SOP2 = 1.00 | IP1 = 0.01 | IP2 = 1.00 | eta_s1 = 9.08e-08 | eta_s2 = 1.30e-11
SNR_Bob = 4 dB, SNR_Eve = 10 dB | C_B1 = 32.84 Mbps | C_B2 = 21.45 Mbps | C_E = 34.51 Mbps | BER_B1 = 5.0440e-01 | BER_B2 = 4.9710e-01 | BER_E = 4.9630e-01 | R_s1 = 0.89 | R_s2 = 0.00 | SOP1 = 0.61 | SOP2 = 1.00 | IP1 = 0.01 | IP2 = 1.00 | eta_s1 = 8.88e-08 | eta_s2 = 1.21e-11
SNR_Bob = 4 dB, SNR_Eve = 12 dB | C_B1 = 32.52 Mbps | C_B2 = 21.49 Mbps | C_E = 34.57 Mbps | BER_B1 = 4.9730e-01 | BER_B2 = 5.0030e-01 | BER_E = 5.0470e-01 | R_s1 = 0.85 | R_s2 = 0.00 | SOP1 = 0.65 | SOP2 = 1.00 | IP1 = 0.02 | IP2 = 1.00 | eta_s1 = 8.50e-08 | eta_s2 = 3.17e-11
SNR_Bob = 4 dB, SNR_Eve = 14 dB | C_B1 = 32.13 Mbps | C_B2 = 21.41 Mbps | C_E = 34.47 Mbps | BER_B1 = 5.0010e-01 | BER_B2 = 4.9690e-01 | BER_E = 4.8880e-01 | R_s1 = 0.82 | R_s2 = 0.00 | SOP1 = 0.67 | SOP2 = 1.00 | IP1 = 0.02 | IP2 = 1.00 | eta_s1 = 8.20e-08 | eta_s2 = 2.16e-11
SNR_Bob = 4 dB, SNR_Eve = 16 dB | C_B1 = 31.46 Mbps | C_B2 = 21.41 Mbps | C_E = 34.56 Mbps | BER_B1 = 5.0320e-01 | BER_B2 = 5.0690e-01 | BER_E = 5.1190e-01 | R_s1 = 0.75 | R_s2 = 0.00 | SOP1 = 0.74 | SOP2 = 1.00 | IP1 = 0.03 | IP2 = 1.00 | eta_s1 = 7.47e-08 | eta_s2 = 2.16e-11
SNR_Bob = 4 dB, SNR_Eve = 18 dB | C_B1 = 30.39 Mbps | C_B2 = 21.37 Mbps | C_E = 34.42 Mbps | BER_B1 = 5.0280e-01 | BER_B2 = 4.9760e-01 | BER_E = 5.0370e-01 | R_s1 = 0.66 | R_s2 = 0.00 | SOP1 = 0.81 | SOP2 = 1.00 | IP1 = 0.06 | IP2 = 1.00 | eta_s1 = 6.57e-08 | eta_s2 = 2.22e-11
SNR_Bob = 4 dB, SNR_Eve = 20 dB | C_B1 = 28.93 Mbps | C_B2 = 21.28 Mbps | C_E = 34.54 Mbps | BER_B1 = 5.0770e-01 | BER_B2 = 4.9950e-01 | BER_E = 4.9920e-01 | R_s1 = 0.51 | R_s2 = 0.00 | SOP1 = 0.89 | SOP2 = 1.00 | IP1 = 0.12 | IP2 = 1.00 | eta_s1 = 5.14e-08 | eta_s2 = 2.02e-11
SNR_Bob = 6 dB, SNR_Eve = 0 dB | C_B1 = 37.84 Mbps | C_B2 = 26.82 Mbps | C_E = 40.70 Mbps | BER_B1 = 4.9480e-01 | BER_B2 = 4.9510e-01 | BER_E = 4.8960e-01 | R_s1 = 0.83 | R_s2 = 0.00 | SOP1 = 0.67 | SOP2 = 1.00 | IP1 = 0.02 | IP2 = 1.00 | eta_s1 = 8.26e-08 | eta_s2 = 1.22e-11
SNR_Bob = 6 dB, SNR_Eve = 2 dB | C_B1 = 37.83 Mbps | C_B2 = 26.81 Mbps | C_E = 40.67 Mbps | BER_B1 = 4.9690e-01 | BER_B2 = 5.0290e-01 | BER_E = 5.0240e-01 | R_s1 = 0.83 | R_s2 = 0.00 | SOP1 = 0.67 | SOP2 = 1.00 | IP1 = 0.02 | IP2 = 1.00 | eta_s1 = 8.28e-08 | eta_s2 = 2.41e-11
SNR_Bob = 6 dB, SNR_Eve = 4 dB | C_B1 = 37.79 Mbps | C_B2 = 26.80 Mbps | C_E = 40.66 Mbps | BER_B1 = 5.0330e-01 | BER_B2 = 5.0080e-01 | BER_E = 4.9990e-01 | R_s1 = 0.83 | R_s2 = 0.00 | SOP1 = 0.67 | SOP2 = 1.00 | IP1 = 0.02 | IP2 = 1.00 | eta_s1 = 8.25e-08 | eta_s2 = 2.11e-11
SNR_Bob = 6 dB, SNR_Eve = 6 dB | C_B1 = 37.71 Mbps | C_B2 = 26.81 Mbps | C_E = 40.66 Mbps | BER_B1 = 4.9900e-01 | BER_B2 = 4.9760e-01 | BER_E = 4.9540e-01 | R_s1 = 0.82 | R_s2 = 0.00 | SOP1 = 0.68 | SOP2 = 1.00 | IP1 = 0.02 | IP2 = 1.00 | eta_s1 = 8.16e-08 | eta_s2 = 2.37e-11
SNR_Bob = 6 dB, SNR_Eve = 8 dB | C_B1 = 37.60 Mbps | C_B2 = 26.80 Mbps | C_E = 40.67 Mbps | BER_B1 = 4.9530e-01 | BER_B2 = 4.9980e-01 | BER_E = 4.9510e-01 | R_s1 = 0.80 | R_s2 = 0.00 | SOP1 = 0.69 | SOP2 = 1.00 | IP1 = 0.02 | IP2 = 1.00 | eta_s1 = 8.05e-08 | eta_s2 = 1.91e-11
SNR_Bob = 6 dB, SNR_Eve = 10 dB | C_B1 = 37.41 Mbps | C_B2 = 26.81 Mbps | C_E = 40.70 Mbps | BER_B1 = 5.0530e-01 | BER_B2 = 4.9990e-01 | BER_E = 4.9430e-01 | R_s1 = 0.78 | R_s2 = 0.00 | SOP1 = 0.71 | SOP2 = 1.00 | IP1 = 0.03 | IP2 = 1.00 | eta_s1 = 7.84e-08 | eta_s2 = 2.25e-11
